id,createdAt,updatedAt,taxon,estatus,id_valido,taxon_valido,referencia,categoria_agrobiodiversidad,es_parientesilvestre,es_domesticado,es_quelite,comentarios_revision,usuario
20730ANGIO,2023-02-20 05:00:29.673+00,2023-02-20 05:00:29.673+00,Chamaedorea pringlei,Aceptado/Válido,20730ANGIO,Chamaedorea pringlei,"Goettsch, Bárbara, Tania Urquiza-Haas, Patricia Koleff,, et al. 2021. “Extinction Risk of Mesoamerican Crop Wild Relatives.” PLANTS, PEOPLE, PLANET, September, ppp3.10225. https://doi.org/10.1002/ppp3.10225.",Agrobiodiversidad,t,,,,listado-admin
20734ANGIO,2023-02-20 05:00:29.752+00,2023-02-20 05:00:29.752+00,Chamaedorea quezalteca,Sinónimo,78597ANGIO,Chamaedorea costaricana,"Goettsch, Bárbara, Tania Urquiza-Haas, Patricia Koleff,, et al. 2021. “Extinction Risk of Mesoamerican Crop Wild Relatives.” PLANTS, PEOPLE, PLANET, September, ppp3.10225. https://doi.org/10.1002/ppp3.10225.",,,,,,listado-admin
20735ANGIO,2023-02-20 05:00:29.83+00,2023-02-20 05:00:29.83+00,Chamaedorea radicalis,Aceptado/Válido,20735ANGIO,Chamaedorea radicalis,"Goettsch, Bárbara, Tania Urquiza-Haas, Patricia Koleff,, et al. 2021. “Extinction Risk of Mesoamerican Crop Wild Relatives.” PLANTS, PEOPLE, PLANET, September, ppp3.10225. https://doi.org/10.1002/ppp3.10225.",Agrobiodiversidad,t,,,,listado-admin
20738ANGIO,2023-02-20 05:00:29.907+00,2023-02-20 05:00:29.907+00,Chamaedorea rigida,Aceptado/Válido,20738ANGIO,Chamaedorea rigida,"Goettsch, Bárbara, Tania Urquiza-Haas, Patricia Koleff,, et al. 2021. “Extinction Risk of Mesoamerican Crop Wild Relatives.” PLANTS, PEOPLE, PLANET, September, ppp3.10225. https://doi.org/10.1002/ppp3.10225.",Agrobiodiversidad,t,,,,listado-admin
20739ANGIO,2023-02-20 05:00:29.979+00,2023-02-20 05:00:29.979+00,Chamaedorea rojasiana,Aceptado/Válido,20739ANGIO,Chamaedorea rojasiana,"Goettsch, Bárbara, Tania Urquiza-Haas, Patricia Koleff,, et al. 2021. “Extinction Risk of Mesoamerican Crop Wild Relatives.” PLANTS, PEOPLE, PLANET, September, ppp3.10225. https://doi.org/10.1002/ppp3.10225.",Agrobiodiversidad,t,,,,listado-admin
20740ANGIO,2023-02-20 05:00:30.058+00,2023-02-20 05:00:30.058+00,Chamaedorea sartorii,Aceptado/Válido,20740ANGIO,Chamaedorea sartorii,"Goettsch, Bárbara, Tania Urquiza-Haas, Patricia Koleff,, et al. 2021. “Extinction Risk of Mesoamerican Crop Wild Relatives.” PLANTS, PEOPLE, PLANET, September, ppp3.10225. https://doi.org/10.1002/ppp3.10225.",Agrobiodiversidad,t,,,,listado-admin
20742ANGIO,2023-02-20 05:00:30.136+00,2023-02-20 05:00:30.136+00,Chamaedorea schiedeana,Aceptado/Válido,20742ANGIO,Chamaedorea schiedeana,"Goettsch, Bárbara, Tania Urquiza-Haas, Patricia Koleff,, et al. 2021. “Extinction Risk of Mesoamerican Crop Wild Relatives.” PLANTS, PEOPLE, PLANET, September, ppp3.10225. https://doi.org/10.1002/ppp3.10225.",Agrobiodiversidad,t,,,,listado-admin
20744ANGIO,2023-02-20 05:00:30.219+00,2023-02-20 05:00:30.219+00,Chamaedorea seifrizii,Aceptado/Válido,20744ANGIO,Chamaedorea seifrizii,"Goettsch, Bárbara, Tania Urquiza-Haas, Patricia Koleff,, et al. 2021. “Extinction Risk of Mesoamerican Crop Wild Relatives.” PLANTS, PEOPLE, PLANET, September, ppp3.10225. https://doi.org/10.1002/ppp3.10225.",Agrobiodiversidad,t,,,,listado-admin
20745ANGIO,2023-02-20 05:00:30.296+00,2023-02-20 05:00:30.296+00,Chamaedorea simplex,Aceptado/Válido,20745ANGIO,Chamaedorea simplex,"Goettsch, Bárbara, Tania Urquiza-Haas, Patricia Koleff,, et al. 2021. “Extinction Risk of Mesoamerican Crop Wild Relatives.” PLANTS, PEOPLE, PLANET, September, ppp3.10225. https://doi.org/10.1002/ppp3.10225.",Agrobiodiversidad,t,,,,listado-admin
20746ANGIO,2023-02-20 05:00:30.373+00,2023-02-20 05:00:30.373+00,Chamaedorea stolonifera,Aceptado/Válido,20746ANGIO,Chamaedorea stolonifera,"Goettsch, Bárbara, Tania Urquiza-Haas, Patricia Koleff,, et al. 2021. “Extinction Risk of Mesoamerican Crop Wild Relatives.” PLANTS, PEOPLE, PLANET, September, ppp3.10225. https://doi.org/10.1002/ppp3.10225.",Agrobiodiversidad,t,,,,listado-admin
